dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
49;2020-S11;B;20;936;2;;
49;2020-S11;C;12;435;2;;
49;2020-S11;D;10;195;6;;
49;2020-S11;E;7;349;6;;
50;2020-S10;0;0;2632;0;0;1195
50;2020-S10;A;0;507;0;0;285
50;2020-S10;B;0;918;0;0;564
50;2020-S10;C;0;468;0;0;217
50;2020-S10;D;0;243;0;0;61
50;2020-S10;E;0;496;0;0;68
50;2020-S11;0;12;2422;5;11;1200
50;2020-S11;A;0;512;0;3;336
50;2020-S11;B;4;850;0;7;536
50;2020-S11;C;3;413;0;1;223
50;2020-S11;D;0;221;0;0;41
50;2020-S11;E;5;426;5;0;64
51;2020-S10;0;8;2432;4;0;351
51;2020-S10;A;0;552;0;0;129
51;2020-S10;B;4;976;2;0;143
51;2020-S10;C;1;409;0;0;40
51;2020-S10;D;3;183;2;0;11
51;2020-S10;E;0;311;0;0;28
51;2020-S11;0;14;2192;5;7;268
51;2020-S11;A;0;515;0;0;90
51;2020-S11;B;7;858;2;7;122
51;2020-S11;C;5;396;2;0;27
51;2020-S11;D;2;161;1;0;10
51;2020-S11;E;0;262;0;0;19
52;2020-S10;0;0;881;0;;
52;2020-S10;A;0;150;0;;
52;2020-S10;B;0;314;0;;
52;2020-S10;C;0;187;0;;
52;2020-S10;D;0;87;0;;
52;2020-S10;E;0;143;0;;
52;2020-S11;0;3;800;1;;
52;2020-S11;A;0;153;0;;
52;2020-S11;B;3;292;1;;
52;2020-S11;C;0;145;0;;
52;2020-S11;D;0;84;0;;
52;2020-S11;E;0;126;0;;
53;2020-S10;0;2;517;0;;
53;2020-S10;A;0;65;0;;
53;2020-S10;B;0;193;0;;
53;2020-S10;C;2;109;0;;
53;2020-S10;D;0;48;0;;
53;2020-S10;E;0;102;0;;
53;2020-S11;0;0;463;0;;
53;2020-S11;A;0;46;0;;
53;2020-S11;B;0;190;0;;
53;2020-S11;C;0;95;0;;
53;2020-S11;D;0;50;0;;
53;2020-S11;E;0;82;0;;
54;2020-S10;0;3;2862;0;1;1148
54;2020-S10;A;3;680;0;0;336
54;2020-S10;B;0;981;0;1;455
54;2020-S10;C;0;511;0;0;156
54;2020-S10;D;0;238;0;0;69
54;2020-S10;E;0;452;0;0;132
54;2020-S11;0;16;2713;8;10;1249
54;2020-S11;A;12;606;4;2;371
54;2020-S11;B;0;950;0;5;472
54;2020-S11;C;0;455;0;3;171
54;2020-S11;D;1;248;1;0;74
54;2020-S11;E;3;454;3;0;157
55;2020-S10;0;0;766;0;;
55;2020-S10;A;0;110;0;;
55;2020-S10;B;0;276;0;;
55;2020-S10;C;0;164;0;;
55;2020-S10;D;0;77;0;;
55;2020-S10;E;0;139;0;;
55;2020-S11;0;8;751;1;;
55;2020-S11;A;0;116;0;;
55;2020-S11;B;4;284;0;;
55;2020-S11;C;3;151;0;;
55;2020-S11;D;0;79;0;;
55;2020-S11;E;1;121;1;;
56;2020-S10;0;311;2654;1;2;676
56;2020-S10;A;48;554;0;0;179
56;2020-S10;B;146;877;0;1;270
56;2020-S10;C;84;512;1;1;107
56;2020-S10;D;25;259;0;0;31
56;2020-S10;E;8;452;0;0;89
56;2020-S11;0;330;2841;2;2;670
56;2020-S11;A;116;587;0;0;182
56;2020-S11;B;103;921;1;2;284
56;2020-S11;C;74;586;0;0;111
56;2020-S11;D;23;247;1;0;24
56;2020-S11;E;14;500;0;0;69
57;2020-S10;0;3;5186;2;;
57;2020-S10;A;0;1233;0;;
57;2020-S10;B;1;1873;0;;
57;2020-S10;C;1;940;1;;
57;2020-S10;D;1;413;1;;
57;2020-S10;E;0;727;0;;
57;2020-S11;0;27;4494;22;;
57;2020-S11;A;0;1021;0;;
57;2020-S11;B;10;1609;7;;
57;2020-S11;C;8;841;6;;
57;2020-S11;D;3;378;3;;
57;2020-S11;E;6;645;6;;
58;2020-S10;0;13;1246;9;;
58;2020-S10;A;2;238;2;;
58;2020-S10;B;4;385;4;;
58;2020-S10;C;5;256;3;;
58;2020-S10;D;1;125;0;;
58;2020-S10;E;1;242;0;;
58;2020-S11;0;21;1169;20;;
58;2020-S11;A;1;253;0;;
58;2020-S11;B;10;375;10;;
58;2020-S11;C;6;224;6;;
58;2020-S11;D;1;113;1;;
58;2020-S11;E;3;204;3;;
59;2020-S10;0;82;13483;7;2;5211
59;2020-S10;A;2;3491;0;1;1878
59;2020-S10;B;51;5289;4;1;2594
59;2020-S10;C;16;2201;0;0;545
59;2020-S10;D;6;947;1;0;95
59;2020-S10;E;7;1553;2;0;86
